2026-01-09,Fun filters and playlist maker for listening to daily soundtracks in the archive!,TRUE
2026-01-08,Now you can listen to the daily soundtrack in a cute little music player,
2026-01-04,Made it so pressing back just removes the pop-up instead of going to the previous page,
2026-01-04,Added infinite scrolling to the long pages,
2025-12-31,Added a 'read more' button to longer posts,
2025-12-14,Added regional variants and lots of filters to the pokemon ranking,
2025-11-19,Added the few TV shows I've actually seen to the films page,
2025-11-17,Hosted all the images and mp3s away from the assets folder,
2025-11-17,Added a ranking for every Pokemon!,TRUE
2025-11-08,Added filters to the daily soundtracks page,
2025-11-04,Added a concerts section!,TRUE
2025-10-27,Made the website more accessible,
2025-10-17,Added a stamp for whether I completed a game or not,
2025-10-11,Fixed a bug now you can put your own hex code in the color picker,
2025-10-10,Added soundtrack of the day!,TRUE
2025-09-24,Revolutionised the links bar at the top,
2025-09-24,Protected the gallery answers in the database,
2025-09-23,Started the newsletter!,TRUE
2025-09-20,New content: nintendo soundtracks & CDs,
2025-09-12,Now you can react to everything on the website!,TRUE
2025-09-05,Wrote some impassioned reviews of Cancionera Blue Prince and Fire Emblem Awakening
2025-08-29,Beefed up the music section a bit,
2025-08-29,Unmasked gallery images when you get the answer right,
2025-08-19,New content: nintendo soundtracks and films,
2025-08-19,New content: bunch of stuff after my holiday,
2025-08-07,New content: all sorts,
2025-07-23,Added cross stitches page and also a secret page,TRUE
2025-07-18,New content: all sorts,
2025-07-13,Revolutionised the smash bros characters page,TRUE
2025-07-12,New content: CDs,
2025-07-04,Added Mario Kart World rankings and some other general content,
2025-06-23,Every game I've ever played is now in the games section!,TRUE
2025-06-20,New content: games - improved the filters too,
2025-06-18,New content: games,
2025-06-14,New content: games,
2025-06-09,General content update,
2025-06-05,Games are now finally in the correct order,
2025-06-01,Now you can change the colour of the homepage!,TRUE
2025-05-31,New spotify playlist: My history of British music!,
2025-05-26,Added the books section!,TRUE
2025-05-21,New content: finished the smash characters page!,
2025-05-20,New content: smash characters,
2025-05-18,New content: smash characters,
2025-05-16,New content: games,
2025-05-14,New content: gallery & albums & cds,
2025-05-10,Added rankings of every Mario Kart track ever,TRUE
2025-05-08,Refactored a whole bunch of stuff and can click away from pop-ups now
2025-05-04,Added Fab's game of life to the community page,TRUE
2025-04-28,Added Fraser's opinions to Durstloescher page, new smash characters
2025-04-25,New content: games,
2025-04-21,Added this changelog page!,TRUE
2025-04-18,New content: games,
2025-04-17,New content: games,
2025-04-16,New content: games,
2025-04-15,New content: games,
2025-04-14,Added my CD collection!,TRUE
2025-04-12,New content: games,
2025-04-08,Made a list of every game I've ever played and added release year to games section,
2025-04-04,New content: characters,
2025-04-01,Added tags for albums,
2025-03-31,Better image loading and new colour scheme,
2025-03-30,Added a party page!,TRUE
2025-03-30,Added search function,
2025-03-30,Mp3 downloads working!,TRUE
2025-03-30,New content: gallery images,
2025-03-25,New content: albums and soundtracks,
2025-03-24,Refactored the films section,
2025-03-23,Refactored the games section,
2025-03-22,Added Anni's Durstlöscher reviews,TRUE
2025-03-22,Added back ups to the database,
2025-03-22,Added sorting to music section,
2025-03-22,Fixed display issues on mobile,
2025-03-22,Finished all the albums content!,TRUE
2025-03-19,New content: characters and albums,
2025-03-18,Added smash characters page!,TRUE
2025-03-17,New content: albums,
2025-03-16,Went live with the guestbook!,TRUE
2025-03-16,Added a README,
2025-03-15,Connected Nginx and deployed the app in production mode!,TRUE
2025-03-14,Connected the database,
2025-03-13,New content: albums,
2025-03-11,Added films and games I want to watch and play,
2025-03-10,New content: albums,
2025-03-08,Updated homepage with random image of me,
2025-03-08,Added smash page and DJ World Peace page and links page,TRUE
2025-03-07,Added secret KK Slider page,
2025-03-06,New content: albums,
2025-03-05,New content: albums,
2025-03-04,Added the gallery and updated homepage,TRUE
2025-03-02,New content: albums,
2025-02-27,Adjusted CSS in albums and nintendo section,
2025-02-26,New content: albums,
2025-02-20,New content: albums,
2025-02-19,Sorted out the albums page,
2025-02-18,New content: soundtracks,
2025-02-17,Set up the mp3 downloads section,
2025-02-16,Added the music section!,TRUE
2025-02-13,New content: films,
2025-02-10,Added films page and homepage!,TRUE
2024-12-19,Added a favicon,
2024-12-16,Added BREXIT SUMMIT page,
2024-12-15,Updated homepage,
2024-12-13,New content: games,
2024-12-09,Added game reviews page,
2024-11-30,Launched the website!,TRUE
